"
pensumboken DEF-COMM-NOUN-M1-M2_infl_rule pensumbok
pensumbøker INDEF-PL-M1-NOUN_infl_rule pensumbok
pensumbøkene DEF-PL-NOUN_infl_rule pensumbok
føtter INDEF-PL-M1-NOUN_infl_rule fot
føttene DEF-PL-NOUN_infl_rule fot
kuer INDEF-PL-M1-NOUN_infl_rule ku
kuene DEF-PL-NOUN_infl_rule ku
kyr INDEF-PL-M1-NOUN_infl_rule ku
kyrne DEF-PL-NOUN_infl_rule ku
tre INDEF-PL-N1_infl_rule tre
treene DEF-PL-NOUN_infl_rule tre
trær INDEF-PL-N1_infl_rule tre
trærne DEF-PL-NOUN_infl_rule tre
størst SUP-SAT-ADJ_infl_rule stor
største SUP-UNSAT-ADJ_infl_rule stor
større COMP-ADJ_infl_rule stor
yngst SUP-SAT-ADJ_infl_rule ung
yngste SUP-UNSAT-ADJ_infl_rule ung
yngre COMP-ADJ_infl_rule ung
lite SG-NEUT-ADJ_infl_rule liten
lille DEF-ADJ_infl_rule liten
små INDEF-PL-ADJ_infl_rule liten
mindre COMP-ADJ_infl_rule liten
minst SUP-SAT-ADJ_infl_rule liten
minste SUP-SAT-ADJ_infl_rule liten
gamle DEF-ADJ_infl_rule gammel
gamle INDEF-PL-ADJ_infl_rule gammel
eldre COMP-ADJ_infl_rule gammel
eldst SUP-SAT-ADJ_infl_rule gammel
eldste SUP-UNSAT-ADJ_infl_rule gammel
best SUP-SAT-ADJ_infl_rule god
beste SUP-UNSAT-ADJ_infl_rule god
bedre COMP-ADJ_infl_rule god
flest SUP-SAT-ADJ_infl_rule mange
fleste SUP-UNSAT-ADJ_infl_rule mange
flere COMP-ADJ_infl_rule mange
færrest SUP-SAT-ADJ_infl_rule få
færreste SUP-UNSAT-ADJ_infl_rule få
færre COMP-ADJ_infl_rule få
eget SG-NEUT-ADJ_infl_rule egen
egen DEF-ADJ_infl_rule egen
egne INDEF-PL-ADJ_infl_rule egen
nytt SG-NEUT-ADJ_infl_rule ny
modnere COMP-ADJ_infl_rule moden
modnest SUP-SAT-ADJ_infl_rule moden
modneste SUP-UNSAT-ADJ_infl_rule moden
anså PRET-V1_infl_rule anse
ansett PPART-V1_infl_rule anse
ankom PRET-V1_infl_rule ankomme
ankommet PPART-V1_infl_rule ankomme
arbeidde PRET-V1_infl_rule arbeide
arbeidd PPART-V1_infl_rule arbeide
avhang PRET-V1_infl_rule avhenge
avhunget PPART-V1_infl_rule avhenge
avstod PRET-V1_infl_rule avstå
avstått PPART-V1_infl_rule avstå
bad PRET-V1_infl_rule be
bedt PPART-V1_infl_rule be
begravde PRET-V1_infl_rule begrave
begravd PPART-V1_infl_rule begrave
begrov PRET-V1_infl_rule begrave
begravd PPART-V1_infl_rule begrave
begynte PRET-V2_infl_rule begynne
begynt PPART-V2_infl_rule begynne
beløp PRET-V1_infl_rule beløpe
beløpt PPART-V1_infl_rule beløpe
bemøyde PRET-V1_infl_rule bemøye
bemøyd PPART-V1_infl_rule bemøye
ble PRET-V1_infl_rule bli
blitt PPART-V1_infl_rule bli
blei PRET-V1_infl_rule bli
blitt PPART-V1_infl_rule bli
vart PRET-V1_infl_rule bli
blitt PPART-V1_infl_rule bli
bodde PRET-V1_infl_rule bo
bodd PPART-V1_infl_rule bo
bredde PRET-V1_infl_rule bre
bredd PPART-V1_infl_rule bre
bredde PRET-V1_infl_rule bre
bredd PPART-V1_infl_rule bre
bredte PRET-V1_infl_rule bre
bredt PPART-V1_infl_rule bre
brente PRET-V1_infl_rule brenne
brent PPART-V1_infl_rule brenne
bygde PRET-V1_infl_rule bygge
bygget PRET-V1_infl_rule bygge
bygd PPART-V1_infl_rule bygge
bygget PPART-V1_infl_rule bygge
dro PRET-V1_infl_rule dra
dratt PPART-V1_infl_rule dra
drog PRET-V1_infl_rule dra
dradd PPART-V1_infl_rule dra
drog PRET-V1_infl_rule dra
dratt PPART-V1_infl_rule dra
draff PRET-V1_infl_rule drikke
druffet PPART-V1_infl_rule drikke
drypte PRET-V1_infl_rule dryppe
drypt PPART-V1_infl_rule dryppe
fant PRET-V1_infl_rule finne
funnet PPART-V1_infl_rule finne
fjernsynsprogrammet DEF-SG-NOUN-NEUT_infl_rule fjernsynsprogram
fjernsynsprogrammene DEF-PL-NEUT-NOUN_infl_rule fjernsynsprogram
foretraff PRET-V1_infl_rule foretrekke
foretruffet PPART-V1_infl_rule foretrekke
foretralp PRET-V1_infl_rule foretrekke
foretrulpet PPART-V1_infl_rule foretrekke
forsvant PRET-V1_infl_rule forsvinne
forsvunnet PPART-V1_infl_rule forsvinne
fortsatte PRET-V2_infl_rule fortsette
fortsatt PPART-V2_infl_rule fortsette
framhevde PRET-V1_infl_rule framheve
framhevd PPART-V1_infl_rule framheve
framstod PRET-V1_infl_rule framstå
framstått PPART-V1_infl_rule framstå
framsto PRET-V1_infl_rule framstå
framstått PPART-V1_infl_rule framstå
fikk PRET-V1_infl_rule få
fått PPART-V1_infl_rule få
fødde PRET-V1_infl_rule føde
fødd PPART-V1_infl_rule føde
fødde PRET-V1_infl_rule føde
fødd PPART-V1_infl_rule føde
gav PRET-V1_infl_rule gi
gitt PPART-V1_infl_rule gi
gav PRET-V1_infl_rule gi
gitt PPART-V1_infl_rule gi
ga PRET-V1_infl_rule gi
gjorde PRET-V1_infl_rule gjøre
gjort PPART-V1_infl_rule gjøre
gledde PRET-V1_infl_rule glede
gledd PPART-V1_infl_rule glede
glemte PRET-V1_infl_rule glemme
glemt PPART-V1_infl_rule glemme
gikk PRET-V1_infl_rule gå
gått PPART-V1_infl_rule gå
hang PRET-V1_infl_rule henge
hunget PPART-V1_infl_rule henge
hogde PRET-V1_infl_rule hogge
hogd PPART-V1_infl_rule hogge
holdt PRET-V1_infl_rule holde
holdt PPART-V1_infl_rule holde
hygde PRET-V1_infl_rule hygge
hygd PPART-V1_infl_rule hygge
kalte PRET-V1_infl_rule kalle
kalt PPART-V1_infl_rule kalle
kjente PRET-V1_infl_rule kjenne
kjent PPART-V1_infl_rule kjenne
kledde PRET-V1_infl_rule kle
kledd PPART-V1_infl_rule kle
klipte PRET-V1_infl_rule klippe
klipt PPART-V1_infl_rule klippe
kom PRET-V1_infl_rule komme
kommet PPART-V1_infl_rule komme
kom PRET-V1_infl_rule komme
kommet PPART-V1_infl_rule komme
kvapp PRET-V1_infl_rule kvekke
kvekket PPART-V1_infl_rule kvekke
kvekte PRET-V1_infl_rule kvekke
kvekt PPART-V1_infl_rule kvekke
ladde PRET-V1_infl_rule la
ladd PPART-V1_infl_rule la
lagde PRET-V1_infl_rule lage
lagd PPART-V1_infl_rule lage
lot PRET-V1_infl_rule late
latt PPART-V1_infl_rule late
la PRET-V1_infl_rule legge
lagt PPART-V1_infl_rule legge
lå PRET-V1_infl_rule ligge
ligget PPART-V1_infl_rule ligge
leit PRET-V1_infl_rule lite
litt PPART-V1_infl_rule lite
leit PRET-V1_infl_rule lite
litt PPART-V1_infl_rule lite
lovde PRET-V1_infl_rule love
lovd PPART-V1_infl_rule love
lovet PRET-V1_infl_rule love
lovet PPART-V1_infl_rule love
løp PRET-V1_infl_rule løpe
løpt PPART-V1_infl_rule løpe
mot PRET-V1_infl_rule male
malt PPART-V1_infl_rule male
nedlot PRET-V1_infl_rule nedlate
nedlatt PPART-V1_infl_rule nedlate
nådde PRET-V1_infl_rule nå
nådd PPART-V1_infl_rule nå
ombestemte PRET-V2_infl_rule ombestemme
ombestemt PPART-V2_infl_rule ombestemme
opphøyde PRET-V1_infl_rule opphøye
opphøyd PPART-V1_infl_rule opphøye
opplevde PRET-V1_infl_rule oppleve
opplevd PPART-V1_infl_rule oppleve
overlot PRET-V1_infl_rule overlate
overlatt PPART-V1_infl_rule overlate
plagde PRET-V1_infl_rule plage
plagd PPART-V1_infl_rule plage
planla PRET-V1_infl_rule planlegge
planlagt PPART-V1_infl_rule planlegge
prøvde PRET-V1_infl_rule prøve
prøvd PPART-V1_infl_rule prøve
påla PRET-V1_infl_rule pålegge
pålagt PPART-V1_infl_rule pålegge
rakk PRET-V1_infl_rule rekke
rukket PPART-V1_infl_rule rekke
rakte PRET-V1_infl_rule rekke
rakt PPART-V1_infl_rule rekke
rekte PRET-V1_infl_rule rekke
rekt PPART-V1_infl_rule rekke
rydde PRET-V1_infl_rule ry
rydd PPART-V1_infl_rule ry
samrådde PRET-V1_infl_rule samrå
samrådd PPART-V1_infl_rule samrå
så PRET-V1_infl_rule se
sett PPART-V1_infl_rule se
satte PRET-V1_infl_rule sette
satt PPART-V1_infl_rule sette
sa PRET-V1_infl_rule si
sagt PPART-V1_infl_rule si
sapp PRET-V1_infl_rule sitte
sittet PPART-V1_infl_rule sitte
skilte PRET-V1_infl_rule skille
skilt PPART-V1_infl_rule skille
skjedde PRET-V1_infl_rule skje
skjedd PPART-V1_infl_rule skje
skrev PRET-V1_infl_rule skrive
skrevet PPART-V1_infl_rule skrive
skreiv PRET-V1_infl_rule skrive
skrevet PPART-V1_infl_rule skrive
slo PRET-V1_infl_rule slå
slått PPART-V1_infl_rule slå
snødde PRET-V1_infl_rule snø
snødd PPART-V1_infl_rule snø
sov PRET-V1_infl_rule sove
sovet PPART-V1_infl_rule sove
stod PRET-V1_infl_rule stå
stått PPART-V1_infl_rule stå
sådde PRET-V1_infl_rule så
sådd PPART-V1_infl_rule så
tok PRET-V1_infl_rule ta
tatt PPART-V1_infl_rule ta
tedde PRET-V1_infl_rule te
tedd PPART-V1_infl_rule te
tilkom PRET-V1_infl_rule tilkomme
tilkommet PPART-V1_infl_rule tilkomme
trådte PRET-V1_infl_rule tre
trådt PPART-V1_infl_rule tre
trodde PRET-V1_infl_rule tro
trodd PPART-V1_infl_rule tro
veide PRET-V1_infl_rule veie
veid PPART-V1_infl_rule veie
verdsatte PRET-V2_infl_rule verdsette
verdsatt PPART-V2_infl_rule verdsette
vinte PRET-V1_infl_rule vinne
vint PPART-V1_infl_rule vinne
vant PRET-V1_infl_rule vinne
vunnet PPART-V1_infl_rule vinne
snø VERB-IMP_infl_rule snø
buldre VERB-IMP_infl_rule buldre
regn VERB-IMP_infl_rule regne
drypp VERB-IMP_infl_rule dryppe
hopp VERB-IMP_infl_rule hoppe
opphøy VERB-IMP_infl_rule opphøye
hogg VERB-IMP_infl_rule hogge
kombiner VERB-IMP_infl_rule kombinere
utstrål VERB-IMP_infl_rule utstråle
begrav VERB-IMP_infl_rule begrave
blås VERB-IMP_infl_rule blåse
begynn VERB-IMP_infl_rule begynne
hold VERB-IMP_infl_rule holde
hold VERB-IMP_infl_rule holde
art VERB-IMP_infl_rule arte
kvekk VERB-IMP_infl_rule kvekke
rable VERB-IMP_infl_rule rable
tykne VERB-IMP_infl_rule tykne
kom VERB-IMP_infl_rule komme
skje VERB-IMP_infl_rule skje
ankom VERB-IMP_infl_rule ankomme
stek VERB-IMP_infl_rule steke
gjeld VERB-IMP_infl_rule gjelde
eksister VERB-IMP_infl_rule eksistere
finnes VERB-IMP_infl_rule finnes
rull VERB-IMP_infl_rule rulle
smelt VERB-IMP_infl_rule smelte
trill VERB-IMP_infl_rule trille
skraml VERB-IMP_infl_rule skramle
løp VERB-IMP_infl_rule løpe
ligg VERB-IMP_infl_rule ligge
jobb VERB-IMP_infl_rule jobbe
smil VERB-IMP_infl_rule smile
spaser VERB-IMP_infl_rule spasere
smash VERB-IMP_infl_rule smashe
spis VERB-IMP_infl_rule spise
øk VERB-IMP_infl_rule øke
le VERB-IMP_infl_rule le
arbeid VERB-IMP_infl_rule arbeide
lek VERB-IMP_infl_rule leke
ry VERB-IMP_infl_rule ry
sov VERB-IMP_infl_rule sove
slingr VERB-IMP_infl_rule slingre
krek VERB-IMP_infl_rule kreke
krangle VERB-IMP_infl_rule krangle
labb VERB-IMP_infl_rule labbe
frys VERB-IMP_infl_rule fryse
forsvinn VERB-IMP_infl_rule forsvinne
tilkom VERB-IMP_infl_rule tilkomme
kakk VERB-IMP_infl_rule kakke
stol VERB-IMP_infl_rule stole
tru VERB-IMP_infl_rule true
tvil VERB-IMP_infl_rule tvile
se VERB-IMP_infl_rule se
se VERB-IMP_infl_rule se
se VERB-IMP_infl_rule se
lengt VERB-IMP_infl_rule lengte
bo VERB-IMP_infl_rule bo
lat VERB-IMP_infl_rule late
lat VERB-IMP_infl_rule late
framstå VERB-IMP_infl_rule framstå
avheng VERB-IMP_infl_rule avhenge
livn VERB-IMP_infl_rule livne
fyr VERB-IMP_infl_rule fyre
