# Date: 2022-04-25, 12:43:47
# Query: #x_ >PRED #y & #x_ >VTYPE #z_
# Running time: 552.87s 
# Treebanks: nob-avis, nob-child, nob-lbk-av, nob-lbk-sa, nob-lbk-tv, nob-ndt-lfg, nob-novel, nob-novel_1, nob-novel_2, nob-novel_3, nob-novel_4, nob-novel_5, nob-novel_6, nob-novel_7, nob-novel_8, nob-novel_9, nob-nrk, nob-sofie
# match types: 10810
# matches: 10458840

#	#y	
# Count	value
1515	gjennomføre
1515	angre
1510	trene
1510	bevise
1504	kjenne*til
1495	mene*med
1491	opplyse
1490	la*være
1488	varme
1484	opphisse
1482	angå
1480	spre*seg
1479	storme
1478	stikke*av
1477	skyldes
1474	smitte
1466	invitere
1463	skamme*seg
1457	suge
1456	slå*ut
1450	suse
1449	lykkes
1447	grøsse
1445	bløde
1444	makte
1439	folde
1437	slepe
1437	rygge
1431	begripe
1423	haste
1422	veie
1422	inneholde
1414	gi*fra*seg
1409	dra*til
1401	holde*opp
1401	true
1400	få*frem
1400	slå*opp
1397	lette
1396	kjenne*på
1394	prege
1385	glitre
1379	gå*opp*for
1373	venne*seg*til
1372	understreke
1367	bevege
1366	foreta*seg
1365	hindre
1364	begeistre
1354	sy
1353	dette
1348	slikke
1347	endre
1345	holde*i
1345	veksle
1345	hoste
1345	tyde*på
1345	feie
1343	pleie&nurse
1339	kontrollere
1330	betale*for
1322	spre
1321	rekke&suffice/reach
1320	trives
1317	titte
1314	sprekke
1310	snakke*sammen
1307	spenne
1307	bli*igjen
1305	støtte*seg
1304	knekke
1303	bestå*av
1302	finne*seg
1297	holde#øye*med
1296	utsette
1296	få*opp
1294	strekke*ut
1291	dreie
1290	smelte
1289	komme&get*seg*på
1289	føle*seg*som
1288	hamre
1286	måle
1285	forvente
1285	snakke*med*om
1284	klamre*seg*til
1284	akte
1283	slå*av
1282	angripe
1278	kle*på*seg
1277	komme*over
1275	redusere
1272	bevare
1271	bre*seg
1271	danne
1269	smette
1269	begå
1267	bry*seg
1267	avtale
1267	tygge
1266	bidra*til
1265	snuble
1263	forsikre
1263	spasere
1259	gni*seg
1257	berolige
1251	ta*vare*på
1251	sykle
1243	benytte
1243	gi*seg*til
1233	dryppe
1227	svette
1227	forsvare
1224	pusse
1223	synes#synd&pity*på
1221	kle*seg
1220	tape&lose
1215	skylle
1211	erklære
1210	overbevise
1206	vende*seg*mot
1206	frese
1204	gange
1200	risikere
1200	glise
1199	koste&cost
1190	trekke*til*seg
1190	lokke&lure
1189	bite*seg*i
1184	lengte
1179	flakke
1179	utsette*for
1178	streife
1176	skrape
1172	vike
1171	ta*det
1170	overse
1169	overvelde
1169	fø
1162	lene
1157	se*seg*om
1150	advare
1149	klippe
1147	se*seg*omkring
1141	stupe
1140	hive
1137	sette*inn
1134	sikre
1134	tilføye
1133	føles
1132	havne*i
1128	ramle
1128	rote
1125	foreta
1123	konstatere
1123	fnise
1122	oppmuntre
1118	mase
1116	bære*på
1109	forberede
1107	uttale
1105	delta*i
1100	innebære
1099	bukke
1098	glede
1098	sjokkere
1096	påvirke
1094	romme
1094	angre*på
1091	omfavne
1084	ombestemme*seg
1083	slippe*inn
1078	gi*etter
1074	straffe
1074	bemerke
1071	forekomme
1071	bølge
1070	ansette
1070	tråkke
1066	utgjøre
1064	se*seg
1063	trekke*frem
1059	like*seg
1059	stå*igjen
1058	undre*seg
1058	notere
1056	få*seg*til
1053	knirke
1052	presse*seg
1052	antyde
1052	kaste*opp
1050	fullføre
1049	pipe
1047	påpeke
1045	fiske
1040	sprenge
1040	opptre
1038	forfølge
1035	arrestere
1035	kalle*for
1033	kommentere
1031	si*fra
1030	vise*frem
1030	slite&toil
1028	passe&guard*seg
1028	melde
1027	stoppe&stop*opp
1027	brumme
1018	sikte
1016	puste*ut
1016	låse*seg
1013	gå*med*på
1012	true*med
1010	grine
1009	sette#pris*på
1001	prate*med
999	hikste
997	vakle
996	hindre*i
996	oppgi
994	plante
990	melde*seg
985	slå*ned
985	spørre*etter
982	bake
982	rive*opp
981	rekke&reach*frem
980	smyge*seg
979	ta#slutt
978	rense
972	utnytte
971	representere
971	anbefale
969	takle
968	slippe*ut
967	gro
966	misforstå
966	kle*av*seg
962	surre
961	stappe
960	kontakte
960	dyrke
958	vente&expect*seg
957	komme*til syne
957	tvile
955	sammenligne*med
955	interessere
954	forholde*seg*til
953	kvitte*seg*med
949	forbløffe
941	ende*med
939	streve*med
937	varsle
936	betrakte*som
